"library_system","web_address","state","popu_lsa_2019","web_visits_2019","locale_mod","cen_tract"
"A. K. SMILEY PUBLIC LIBRARY","http://www.akspl.org","CA",71839,301170,13,81
"ALAMEDA COUNTY LIBRARY","http://www.aclibrary.org","CA",589666,2622379,21,4419.25
"ALAMEDA FREE LIBRARY","http://www.alamedafree.org","CA",79316,715921,21,4280
"ALHAMBRA CIVIC CENTER LIBRARY","http://alhambralibrary.org","CA",86931,289421,21,4810.01
"ALPINE COUNTY LIBRARY/ARCHIVES","http://www.alpinecountyca.gov/Index.aspx?NID=107","CA",1162,2089,43,100
"ALTADENA LIBRARY DISTRICT","http://www.altadenalibrary.org","CA",52924,125555,21,4611
"AMADOR COUNTY LIBRARY","http://www.amadorgov.org/departments/library","CA",38294,50436,42,4.01
"ANAHEIM PUBLIC LIBRARY","http://anaheim.net/library","CA",359339,187232,11,872
"ARCADIA PUBLIC LIBRARY","http://www.arcadiaca.gov/library","CA",58891,106712,13,4308.02
"AZUSA CITY LIBRARY","http://www.azusaca.gov/library","CA",51313,-1,21,4006.02
"BANNING LIBRARY DISTRICT"," www.banninglibraryca.gov","CA",31562,27644,21,441.02
"BEAUMONT LIBRARY DISTRICT","http://bld.lib.ca.us","CA",56325,25972,21,440
"BELVEDERE-TIBURON LIBRARY","https://beltiblibrary.org","CA",11510,107908,21,1242
"BENICIA PUBLIC LIBRARY","https://www.benicialibrary.org","CA",27570,122974,22,2520
"BERKELEY PUBLIC LIBRARY","http://www.berkeleypubliclibrary.org/","CA",123328,946287,12,4229
"BEVERLY HILLS PUBLIC LIBRARY","http://www.bhpl.org","CA",34627,409084,21,7008.01
"BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT","http://www.blanchardlibrary.org","CA",30779,-1,31,6
"BRAWLEY PUBLIC LIBRARY","brawley-ca.gov/section/Library","CA",27337,-1,31,106
"BUENA PARK LIBRARY DISTRICT","http://www.buenaparklibrary.org/","CA",83384,62960,21,1103.03
"BURBANK PUBLIC LIBRARY","http://www.BurbankLibrary.org","CA",105952,438730,12,3107.02
"BURLINGAME PUBLIC LIBRARY","http://www.burlingame.org/library","CA",38163,115148,21,6055
"BUTTE COUNTY LIBRARY","http://www.buttecounty.net/bclibrary","CA",226466,214485,32,28
"CALABASAS CITY LIBRARY","http://www.cityofcalabasas.com/library.html","CA",24239,-1,21,8002.04
"CALAVERAS COUNTY LIBRARY","www.calaveraslibrary.com","CA",45117,63441,42,3
"CAMARENA MEMORIAL PUBLIC LIBRARY","https://calexicolibrary.org","CA",42198,-1,22,120.02
"CAMARILLO PUBLIC LIBRARY","http://camarillolibrary.org","CA",69880,154601,13,52.02
"CARLSBAD CITY LIBRARY","http://www.carlsbadlibrary.org","CA",115241,492157,12,221
"CARPINTERIA COMMUNITY LIBRARY","https://carpinterialibrary.org/",CA,NA,NA,NA,NA
"CERRITOS PUBLIC LIBRARY","http://www.cerritoslibrary.us","CA",50711,195000,21,5545.14
"CHULA VISTA PUBLIC LIBRARY","http://www.chulavistalibrary.com","CA",271411,248948,11,124.02
"CITY OF COMMERCE PUBLIC LIBRARY","https://www.cocpl.org","CA",13021,268824,21,5323.03
"COALINGA-HURON LIBRARY DISTRICT","http://www.coalingahuronlibrary.org/",NA,NA,NA,NA,NA
"COLTON PUBLIC LIBRARY","http://www.ci.colton.ca.us/Pages/librarywelcome.htm","CA",54391,630,21,125
"COLUSA COUNTY FREE LIBRARY","https://www.countyofcolusa.org/24/Library","CA",22117,5250,32,5
"CONTRA COSTA COUNTY LIBRARY","http://ccclib.org","CA",1045443,3592202,21,3200.03
"CORONA PUBLIC LIBRARY","http://www.coronaca.gov/library","CA",168101,269461,12,416
"CORONADO PUBLIC LIBRARY","http://www.coronado.ca.us/library","CA",24199,80091,21,108
"COVINA PUBLIC LIBRARY","http://www.covinaca.gov/library","CA",48876,-1,21,4061.01
"CROWELL PUBLIC LIBRARY","http://crowellpubliclibrary.org","CA",13352,62660,21,4641
"DALY CITY PUBLIC LIBRARY","https://www.dalycity.org/library","CA",109122,111349,21,6009
"DEL NORTE COUNTY LIBRARY DISTRICT","http://www.delnortecountylibrary.org","CA",27401,4289,33,1.01
"DIXON PUBLIC LIBRARY DISTRICT","http://www.dixonlibrary.com","CA",29064,25739,31,2534.02
"DOWNEY CITY LIBRARY","http://www.downeylibrary.org","CA",114212,-1,21,5509.01
"EL CENTRO PUBLIC LIBRARY","http://www.cityofelcentro.org/library/","CA",46248,-1,13,112.02
"EL DORADO COUNTY LIBRARY","http://www.eldoradolibrary.org/","CA",191848,-1,21,310
"EL SEGUNDO PUBLIC LIBRARY","https://elsegundolibrary.org","CA",17066,28589,21,6201.01
"ESCONDIDO PUBLIC LIBRARY","http://www.escondidolibrary.org","CA",152739,309878,21,206.01
"FOLSOM PUBLIC LIBRARY","https://www.library.folsom.ca.us/","CA",79835,131895,13,84.04
"FRESNO COUNTY PUBLIC LIBRARY","http://www.fresnolibrary.org","CA",990451,2563054,11,6
"FULLERTON PUBLIC LIBRARY","www.fullertonlibrary.org","CA",142824,652153,21,112
"GLENDALE LIBRARY, ARTS & CULTURE","http://glendalelac.org",NA,NA,NA,NA,NA
"GLENDORA LIBRARY & CULTURAL CENTER","http://www.glendoralibrary.org","CA",52122,144123,21,4011.02
"GOLETA VALLEY LIBRARY","https://www.cityofgoleta.org/city-hall/goleta-valley-library","CA",95202,50891,22,29.14
"HARRISON MEMORIAL LIBRARY","http://ci.carmel.ca.us/library","CA",3987,37141,22,116.02
"HAYWARD PUBLIC LIBRARY","hayward-ca.gov/public-library","CA",159433,-1,21,4354
"HEMET PUBLIC LIBRARY","www.hemetca.gov/library","CA",84754,302549,22,434.01
"HUMBOLDT COUNTY LIBRARY","http://www.co.humboldt.ca.us/library/","CA",135333,81913,33,5
"HUNTINGTON BEACH PUBLIC LIBRARY","http://www.hbpl.org","CA",203761,-1,21,994.02
"IMPERIAL COUNTY LIBRARY","http://www.library.imperialcounty.org","CA",54554,-1,22,116
"IMPERIAL PUBLIC LIBRARY","http://www.cityofimperial.org/public-library","CA",19929,-1,22,110
"INGLEWOOD PUBLIC LIBRARY","http://library.cityofinglewood.org","CA",112549,-1,21,6012.11
"INYO COUNTY FREE LIBRARY","https://www.inyocounty.us/services/inyo-county-free-library","CA",18593,-1,43,5
"IRWINDALE PUBLIC LIBRARY","https://www.irwindaleca.gov/121/Library","CA",1506,2555,21,4046
"KERN COUNTY LIBRARY","https://kernlibrary.org","CA",916464,1936841,11,16
"KINGS COUNTY LIBRARY","http://www.kingscountylibrary.org/","CA",153710,165641,23,9
"LA COUNTY LIBRARY","http://www.lacountylibrary.org","CA",3382355,1408411,21,5516
"LAKE COUNTY LIBRARY","http://library.lakecountyca.gov","CA",65071,51503,32,4
"LARKSPUR PUBLIC LIBRARY","http://www.larkspurlibrary.org","CA",12578,19393,21,1200
"LASSEN LIBRARY DISTRICT","http://www.lassenlibrary.org/","CA",15008,13705,33,403.04
"LINCOLN PUBLIC LIBRARY","http://www.libraryatlincoln.org","CA",48277,-1,41,235
"LIVERMORE PUBLIC LIBRARY","http://www.livermorelibrary.net","CA",91039,152906,13,4515.01
"LODI PUBLIC LIBRARY","library.lodi.gov","CA",68272,-1,23,42.04
"LOMPOC PUBLIC LIBRARY","http://www.cityoflompoc.com/library/","CA",59978,-1,23,28.02
"LONG BEACH PUBLIC LIBRARY","http://www.lbpl.org/","CA",475013,509419,11,5760.01
