Location,1.10 Street Address,1.11 City,1.12 Zip,1.13 Zip +4,1.18 Public Phone Number - Administration,1.19 Reference Phone Number,1.20 TDD for Deaf,"1.22 Library Public Email address or ""contact me"" URL",1.23 Library's Web Address,1.6 Director First Name,1.8 Director Last Name,1.9 Director Title,Library Director's Email Address Shared with Public
A. K. SMILEY PUBLIC LIBRARY,125 W. VINE ST.,REDLANDS,92373,4728,(909) 798-7565,-1,-1,admin@akspl.org,http://www.akspl.org,Don,McCue,Director,
ALAMEDA COUNTY LIBRARY,2450 STEVENSON BLVD.,FREMONT,94538,2326,(510) 745-1504,(510) 745-1400,(888) 663-0660,N/A,http://www.aclibrary.org,Cynthia,Chadwick,County Librarian,
ALAMEDA FREE LIBRARY,1550 OAK ST,ALAMEDA,94501,4411,(510) 747-7747,(510) 747-7713,(510) 522-2072,alamedafree@alamedaca.gov,http://www.alamedafree.org,Jane,Chisaki,Library Director,
ALHAMBRA CIVIC CENTER LIBRARY,101 S. FIRST ST.,ALHAMBRA,91801,3488,(626) 570-5008,(626) 570-3212,-1,admin@alhambralibrary.org,http://alhambralibrary.org,Hilda,LohGuan,Library Director,
ALPINE COUNTY LIBRARY/ARCHIVES,270 LARAMIE ST.,MARKLEEVILLE,96120,0187,(530) 694-2120,(530) 694-2120,-1,library@alpinecountyca.gov,http://www.alpinecountyca.gov/Index.aspx?NID=107,Rita,Lovell,County Librarian/Archivist,
ALTADENA LIBRARY DISTRICT,600 E. MARIPOSA ST.,ALTADENA,91001,2211,(626) 798-0833,(626) 798-0833,N/A,hello@altadenalibrary.org,http://www.altadenalibrary.org,Nikki,Winslow,District Director,
AMADOR COUNTY LIBRARY,530 SUTTER ST.,JACKSON,95642,2379,(209) 223-6400,(209) 223-6400,-1,library@amadorgov.org,http://www.amadorgov.org/departments/library,Laura,Einstadter,County Librarian,
ANAHEIM PUBLIC LIBRARY,500 W. BROADWAY,ANAHEIM,92805,3699,(714) 765-1810,(714) 765-1880,N/A,tedelblute@anaheim.net,http://anaheim.net/library,Audrey,Lujan,City Librarian,
ARCADIA PUBLIC LIBRARY,20 W. DUARTE ROAD,ARCADIA,91006,6999,(626) 821-5567,(626) 821-5569,N/A,publiclibrary@arcadiaca.gov,http://www.arcadiaca.gov/library,Darlene,Bradley,Director of Library and Museum Services,
AZUSA CITY LIBRARY,729 N. DALTON AVE.,AZUSA,91702,2550,(626) 812-5232,(626) 812-5268,(626) 812-5200,library_staff@azusaca.gov,http://www.azusaca.gov/library,Ann,Graf,Director of Information Technology and Library Services,
BANNING LIBRARY DISTRICT,21 W. NICOLET ST.,BANNING,92220,4607,(951) 849-3192,(951) 849-3192,-1,bld@banninglibrarydistrict.org, www.banninglibraryca.gov,Kevin,Lee,District Director,
BEAUMONT LIBRARY DISTRICT,125 E. EIGHTH ST.,BEAUMONT,92223,2194,(951) 845-1357,(951) 845-1357,-1,info@bld.lib.ca.us,http://bld.lib.ca.us,Luren,Dickinson,Library Director,
BELVEDERE-TIBURON LIBRARY,1501 TIBURON BLVD,TIBURON,94920,2530,(415) 789-2665,(415) 789-2661,-1,refdesk@beltiblibrary.org,https://beltiblibrary.org,Crystal,Duran,Director,
BENICIA PUBLIC LIBRARY,150 E. L ST.,BENICIA,94510,3281,(707) 746-4343,(707) 746-4343,-1,library@ci.benicia.ca.us,https://www.benicialibrary.org,Jennifer,Baker,Library Director,
BERKELEY PUBLIC LIBRARY,2090 KITTREDGE STREET,BERKELEY,94704,1427,(510) 981-6195,(510) 981-6148,(510) 548-1240,https://www.berkeleypubliclibrary.org/about/contactus,http://www.berkeleypubliclibrary.org/,Tess,Mayer,Director of Library Services,
BEVERLY HILLS PUBLIC LIBRARY,444 N. REXFORD DR.,BEVERLY HILLS,90210,4877,(310) 288-2220,(310) 288-2244,N/A,library@beverlyhills.org,http://www.bhpl.org,Karen,Buth,City Librarian,
BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT,119 N. EIGHTH ST.,SANTA PAULA,93060,2709,(805) 525-3615,(805) 525-3615,N/A,info@blanchardlibrary.org,http://www.blanchardlibrary.org,Ned,Branch,District Director,
BRAWLEY PUBLIC LIBRARY,400 MAIN ST.,BRAWLEY,92227,2491,(760) 344-1891,(760) 344-1891,-1,library@brawley-ca.gov,brawley-ca.gov/section/Library,Petra,Ortega,Library Manager,
BUENA PARK LIBRARY DISTRICT,7150 LA PALMA AVE.,BUENA PARK,90620,2547,(714) 826-4100,(714) 826-4100,N/A,library@buenapark.lib.ca.us,http://www.buenaparklibrary.org/,Helen,Medina,Director,
BURBANK PUBLIC LIBRARY,110 N. GLENOAKS BLVD.,BURBANK,91502,1203,(818) 238-5551,(818) 238-5580,,asklibrarian@burbankca.gov,http://www.BurbankLibrary.org,Elizabeth,Goldman,Library Services Director,
BURLINGAME PUBLIC LIBRARY,480 PRIMROSE RD.,BURLINGAME,94010,4083,(650) 558-7400,(650) 558-7400,-1,bplref@plsinfo.org,http://www.burlingame.org/library,Bradley,McCulley,City Librarian,
BUTTE COUNTY LIBRARY,1820 MITCHELL AVENUE,OROVILLE,95966,5387,(530) 552-5652,(530) 552-5652,N/A,library@buttecounty.net,http://www.buttecounty.net/bclibrary,Narinder,Sufi,County Librarian,
CALABASAS CITY LIBRARY,200 CIVIC CENTER WAY,CALABASAS,91302,4114,(818) 225-7616,(818) 225-7616,N/A,requests@calabasaslibrary.org,http://www.cityofcalabasas.com/library.html,Barbara,Lockwood,City Librarian,
CALAVERAS COUNTY LIBRARY,1299 GOLD HUNTER ROAD,SAN ANDREAS,95249,9709,(209) 754-6510,(209) 754-6510,-1,publiclibrary@co.calaveras.ca.us,www.calaveraslibrary.com,Nancy,Giddens,County Librarian,
CAMARENA MEMORIAL PUBLIC LIBRARY,850 ENCINAS AVE.,CALEXICO,92231,2559,(760) 768-2170,(760) 768-7480,-1,library@calexico.ca.gov,https://calexicolibrary.org,Lizeth,Legaspi,Library Manager,
CAMARILLO PUBLIC LIBRARY,4101 LAS POSAS RD,CAMARILLO,93010,3799,(805) 388-5222,(805) 388-5811,N/A,askus@camarillolibrary.org,http://camarillolibrary.org,Mandy,Nasr,Library Director,
CARLSBAD CITY LIBRARY,1775 DOVE LANE,CARLSBAD,92011,4048,(442) 339-2011,(442) 339-2038,(442) 339-8113,librarian@carlsbadca.gov,http://www.carlsbadlibrary.org,Suzanne,Smithson,Library & Cultural Arts Director,
CARPINTERIA COMMUNITY LIBRARY,5141 CARPINTERIA AVE.,CARPINTERIA,93013,2048,(805) 684-4314,,,,https://carpinterialibrary.org/,,,,
CERRITOS PUBLIC LIBRARY,18025 BLOOMFIELD AVE.,CERRITOS,90703,8525,(562) 916-1350,(562) 916-1342,N/A,library@ci.cerritos.ca.us,http://www.cerritoslibrary.us,Annie,Hylton,City Librarian,
CHULA VISTA PUBLIC LIBRARY,365 F ST.,CHULA VISTA,91910,2697,(619) 691-5069,(619) 691-5069,N/A,webmaster@ci.chula-vista.ca.us,http://www.chulavistalibrary.com,Joy,Whatley,Director,
CITY OF COMMERCE PUBLIC LIBRARY,5655 JILLSON ST.,COMMERCE,90040,1485,(323) 722-6660,(323) 722-6660,-1,referencel@ci.commerce.ca.us,https://www.cocpl.org,Beatriz,Sarmiento,Director of Library Services,
COALINGA-HURON LIBRARY DISTRICT,305 N. FOURTH ST.,COALINGA,93210,2896,(559) 935-1676,(559) 935-1676,-1,-1,http://www.coalingahuronlibrary.org/,Mary,Leal,Director of Library Services,
COLTON PUBLIC LIBRARY,656 N. 9TH ST.,COLTON,92324,2807,(909) 370-5083,(909) 370-5083,-1,coltonpl@coltonca.gov,http://www.ci.colton.ca.us/Pages/librarywelcome.htm,Edward,Pedroza,Library Supervisor,
COLUSA COUNTY FREE LIBRARY,738 MARKET ST.,COLUSA,95932,2327,(530) 458-0372,(530) 458-7671,N/A,colusa_library@countyofcolusa.com,https://www.countyofcolusa.org/24/Library,Stacey,Zwald Costello,County Librarian,
CONTRA COSTA COUNTY LIBRARY,"777 ARNOLD DRIVE, SUITE 210",MARTINEZ,94553,3633,(925) 608-7700,(925) 646-6434,N/A,Admin@library.cccounty.us,http://ccclib.org,Alison,McKee,Director,
CORONA PUBLIC LIBRARY,650 SOUTH MAIN ST.,CORONA,92882,3417,(951) 736-2381,(951) 736-2404,N/A,Aska.lib@coronaca.gov,http://www.coronaca.gov/library,Anne,Turner,"Director of Community Services (Parks, Recreation, and Library)",
